MA_Carbohydrate (wt%),MA_Protein (wt%),MA_Lipid (wt%),MA_Ash (wt%),MA_C (wt%),MA_H (wt%),MA_N (wt%),MA_O (wt%),MA_S (wt%),HTL_Temperature (℃),HTL_Pressure (Mpa),HTL_Time (min),HTL_Concentration (wt%),BC_Yield (wt%)
33.5,49.5,6.3,7.2,46.7,6.8,7.4,39,0.1,220,,30,11,13.3
33.5,49.5,6.3,7.2,46.7,6.8,7.4,39,0.1,240,,30,11,14
33.5,49.5,6.3,7.2,46.7,6.8,7.4,39,0.1,265,,30,11,18
19.3,65.4,7.4,5.9,44.95,7.03,9.91,38.11,0,340,12,120,11,33.52
25.36,42.35,17.16,14.91,43.25,8.46,6.83,40.83,0.63,250,,60,10,8.6
25.36,42.35,17.16,14.91,43.25,8.46,6.83,40.83,0.63,350,,60,10,17.19
42.55,22.08,21.62,10.17,45.03,7.5,3.59,42.9,0.98,250,,60,10,12.54
42.55,22.08,21.62,10.17,45.03,7.5,3.59,42.9,0.98,350,,60,10,39.07
43.78,22.12,26.35,7.22,53.65,7.32,5.12,25.04,1.65,200,,40,25,35.43
43.78,22.12,26.35,7.22,53.65,7.32,5.12,25.04,1.65,250,,20,25,41.42
43.78,22.12,26.35,7.22,53.65,7.32,5.12,25.04,1.65,250,,60,25,42.21
43.78,22.12,26.35,7.22,53.65,7.32,5.12,25.04,1.65,200,,40,25,40.54
49.5,30.4,11.8,29.42,32.76,5.14,3.81,28.87,0,280,,30,9.09,26.13
30.6,40.5,21.9,4.4,49.9,7.9,6.3,28.7,0.6,210,,60,16.7,11.8
30.6,40.5,21.9,4.4,49.9,7.9,6.3,28.7,0.6,230,,60,16.7,17
30.6,40.5,21.9,4.4,49.9,7.9,6.3,28.7,0.6,250,,60,16.7,20.2
26.9,28,16.8,28.3,44.4,5.4,5.8,15.8,0.3,250,,5,6,17.6
26.9,28,16.8,28.3,44.4,5.4,5.8,15.8,0.3,375,,5,6,50.6
16,37.5,21.9,24.6,38,4.8,5.2,26.7,0.7,250,,5,6,40.8
16,37.5,21.9,24.6,38,4.8,5.2,26.7,0.7,375,,5,6,54.3
19.2,43.9,25.1,11.8,51,6.6,6.9,23.3,0.4,250,,5,6,34.4
19.2,43.9,25.1,11.8,51,6.6,6.9,23.3,0.4,375,,5,6,54.3
14.5,51.7,21.8,12,50.6,6.4,6.8,23.8,0.4,250,,5,6,35.7
14.5,51.7,21.8,12,50.6,6.4,6.8,23.8,0.4,375,,5,6,58.1
21,43.6,19.5,15.9,45,5.9,6.3,25.8,1.1,250,,5,6,29.4
21,43.6,19.5,15.9,45,5.9,6.3,25.8,1.1,375,,5,6,45.6
16.1,41.2,20.4,22.3,42.3,5.1,6.2,23.7,0.4,250,,5,6,33
16.1,41.2,20.4,22.3,42.3,5.1,6.2,23.7,0.4,375,,5,6,55.3
32.5,45.6,12.1,9.8,45.6,6.1,6,31.4,1.1,250,,5,6,24.7
32.5,45.6,12.1,9.8,45.6,6.1,6,31.4,1.1,375,,5,6,47.1
19.4,50.8,23.4,6.4,51.9,7.5,8.6,25.1,0.5,250,,5,6,44.8
19.4,50.8,23.4,6.4,51.9,7.5,8.6,25.1,0.5,375,,5,6,55.3
24.4,36.3,30.2,9.06,52.4,7.88,5.81,25,0.814,250,2.8,60,25,
24.4,36.3,30.2,9.06,52.4,7.88,5.81,25,0.814,300,8.9,60,25,
